Salary,playerID,POS,AB_bat,G_bat,pa,HR_bat,R_bat,RBI_bat,SB_bat,BB_bat,SO_bat,ISO,BABIP,AVG,OBP,SLUG,wOBA,wRC,wSB,BsR,Def,Off,WAR,TeamFit,Team Fit,Land Prob,Available,Bats,Throws,Full Name,Team,Min Def,Max Def,Min Off,Max Off,Min Team Fit,Max Team Fit,Bargain 2,Off (Norm),Def (Norm),Min Bargain 2,Max Bargain 2
1950000,santado01,LF,451,121,505,21,63,69,8,50,164,0.188470067,0.347014925,0.252771619,218.0044346,136.1396896,0.270906746,38.50842345,0.00529,501.0458057,-43.95348837,-21.15700445,96.49823287,60.95712415,60.95712415,0.25886771,0,Right,Right, Domingo Alberto Santana ,Cleveland Indians,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,19.24538153,29.87537406,52.31024591,-0.00000172,9.99E-05
625000,schebsc01,CF,81,30,95,2,11,7,0,14,27,0.098765432,0.153846154,0.12345679,38,12.07407407,0.127073684,-3.456029757,-0.4524,94.60305287,10,-15.71389434,57.993692,11.96289882,11.96289882,0.094515969,0,Left,Right, Scott Anthony Schebler ,Cincinnati Reds,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,11.66962551,37.13431711,66.62529092,-0.00000172,9.99E-05
42142857,scherma01,SP,55,29,61,0,6,2,2,0,27,0,0.357142857,0.181818182,10,10,0.161454545,-0.576822809,0.3623,55.38113239,-1.466666667,-8.197467431,53.94144642,7.448824147,7.448824147,0.356178418,0,Right,Right, Maxwell M. Scherzer ,Washington Nationals,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.146939386,47.15823977,63.5829325,-0.00000172,9.99E-05
7500000,schoojo01,2B,433,121,464,23,61,59,1,20,116,0.217090069,0.298305085,0.256351039,162.0230947,136.1593533,0.309339093,49.34645191,-0.52761,452.522294,84.56140351,-3.966080879,92.75663306,60.58823701,60.58823701,0.034515258,0,Right,Right, Jonathan Rufino Jezus Schoop ,Detroit Tigers,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,5.003438467,52.80122574,86.40806827,-0.00000172,9.99E-05
3390000,schwaky01,LF,529,155,610,38,82,92,2,70,156,0.281663516,0.275659824,0.24952741,283.0094518,167.2155009,0.297869421,59.39471191,-1.22864,597.8869669,-51.62790698,-11.36993775,105.9039401,75.59543766,75.59543766,0.395283303,0,Left,Right, Kyle Joseph Schwarber ,Chicago Cubs,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,13.74756074,42.92742671,50.27405416,-0.00000172,9.99E-05
555000,schwifr01,1B,15,6,15,0,0,0,0,0,2,0,0.076923077,0.066666667,1,1,0.0592,-1.342952232,-0.00377,14.99623,-3.440860215,-3.321958168,48.80499514,2.947663216,2.947663216,0.338135855,0,Right,Right, Frank J. Schwindel ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,3.129959896,53.66022914,63.05913561,-0.00000172,9.99E-05
4000000,seageco01,SS,489,134,541,19,82,87,1,44,98,0.210633947,0.303191489,0.27198364,229.00818,179.1165644,0.300407063,53.7513635,-0.22978,532.9273909,46.82242991,-8.861026654,101.0516114,71.37183212,71.37183212,0.895949018,1,Left,Right, Corey Drew Seager ,Los Angeles Dodgers,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,11.00677212,46.2733158,76.39509001,-0.00000172,9.99E-05
19500000,seageky01,3B,393,106,443,23,55,63,2,44,86,0.229007634,0.248251748,0.239185751,188.0101781,115.1755725,0.275990971,35.54440877,-0.72723,436.3208662,53.50877193,-16.5744844,91.18306781,57.06304877,57.06304877,0.25808477,0,Left,Right, Kyle Duerr Seager ,Seattle Mariners,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,1.837932762,35.9866324,78.16912335,-0.00000172,9.99E-05
15050000,segurje01,SS,576,144,618,12,79,60,10,30,73,0.140625,0.301619433,0.279513889,232.0138889,206.0625,0.292829545,57.73462732,0.69935,606.7436156,56.91588785,-14.21999752,108.2210194,77.80885784,77.80885784,0.005362898,0,Right,Right, Jean Carlos Enrique Segura ,Philadelphia Phillies,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,3.218569276,39.12658103,79.073106,-0.00000172,9.99E-05
5900000,semiema01,SS,657,162,747,33,123,92,10,87,102,0.237442922,0.294455067,0.284627093,364.0030441,244.1506849,0.307508725,78.37283277,-1.73607,742.3083744,66.07476636,-7.757299011,121.3877598,100,100,0.398136659,0,Right,Right, Marcus Andrew Semien ,Oakland Athletics,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,10.46431379,47.7452493,81.50315756,-0.00000172,9.99E-05
560000,senzaan01,SP,40,25,46,0,2,3,0,1,24,0,0.0625,0.025,3,1,0.021658537,-5.470702676,-0.00754,40.99246,14.92,-11.83979982,52.54394522,5.748649083,5.748649083,0.887453134,1,Right,Right, Antonio Senzatela ,Colorado Rockies,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,6.183554424,42.30081767,67.93067494,-0.00000172,9.99E-05
5187500,severlu01,SP,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.133333333,0,0,0.120912942,0.120912942,0.41561997,0,Right,Right, Luis Severino ,New York Yankees,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,3.53E-02,58.0903995,63.67137315,-0.00000172,9.99E-05
563500,severpe01,C,305,96,341,13,37,44,3,29,73,0.170491803,0.285067873,0.249180328,140.0131148,89.12786885,0.268011765,25.22966466,-0.08991,334.0115099,34.8125,-15.05436355,82.21751261,43.28545462,43.28545462,0.039890065,0,Right,Right, Pedro Severino ,Baltimore Orioles,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,47.18068616,38.01386875,73.20859193,-0.00000172,9.99E-05
9166666,shawbr01,RP,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.271428571,0,0,0.365466186,0.365466186,0.281267317,0,Both,Right, Bryan Anthony Shaw ,Colorado Rockies,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,5.40E-02,58.0903995,65.3706971,-0.00000172,9.99E-05
4675000,shawtr01,3B,230,86,270,7,22,16,0,36,89,0.113043478,0.21641791,0.156521739,112.0173913,41.09130435,0.169520599,-0.847719814,-0.22997,265.8735497,29.29824561,-34.94667491,74.62835564,30.81637987,30.81637987,0.389476126,0,Left,Right, Travis R. Shaw ,Toronto Blue Jays,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,4.079458536,11.48544066,71.74553917,-0.00000172,9.99E-05
3500000,shoemma01,SP,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0.446741502,0.446741502,0.675014266,1,Right,Right, Matthew David Shoemaker ,Toronto Blue Jays,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,9.02E-02,58.0903995,65.93545384,-0.00000172,9.99E-05
700000,shuckja01,RF,47,27,57,0,4,2,1,8,10,0.042553191,0.27027027,0.212765957,27.0212766,12,0.184464286,0.488061304,-0.24486,54.75514,-13.33333333,-6.49274895,53.39502137,7.516081011,7.516081011,0.943123286,1,Left,Left, Jack Burdett Shuck ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,6.51032294,49.43165591,60.4344453,-0.00000172,9.99E-05
13000000,simmoan01,SS,398,103,424,7,47,40,10,24,37,0.100502513,0.276836158,0.263819095,155.0050251,124.0527638,0.261115839,29.08096777,0.85392,423.0315099,43.8317757,-21.31786788,90.37796327,52.58813437,52.58813437,0.276088863,0,Right,Right, Andrelton A. Simmons ,Los Angeles Angels,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,2.524622045,29.66084626,75.60160379,-0.00000172,9.99E-05
1250000,sippto01,RP,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.394444444,0,0,0.293797237,0.293797237,0.409983327,0,Left,Left, Tony Marcel Sipp ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.104330804,58.0903995,64.87269201,-0.00000172,9.99E-05
3700000,skaggty01,SP,2,15,3,0,0,0,0,1,1,0,0,0,2,0,0,-0.407666406,-0.00377,2.99623,6.6,-0.829732066,48.85355769,2.539644845,2.539644845,0.758177665,1,Left,Left, Tyler Wayne Skaggs ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.435950741,56.98386708,65.72319627,-0.00000172,9.99E-05
568175,skogler01,SP,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0.840026757,0.840026757,0.76388642,1,Left,Left, Eric L. Skoglund ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.77320668,58.0903995,68.66826997,-0.00000172,9.99E-05
559320,smithdo02,1B,177,89,197,11,35,25,1,19,44,0.242937853,0.319672131,0.282485876,89.00564972,60.18644068,0.316218274,22.0122083,-0.73873,195.3678798,-17.52688172,-0.327688381,66.32360915,26.32729888,26.32729888,0.48525262,0,Left,Left, Dominic David Rene Smith ,New York Mets,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,28.85575659,57.65339359,59.32180485,-0.00000172,9.99E-05
560100,smithdw02,RF,357,101,392,13,46,53,5,26,82,0.170868347,0.27443609,0.240896359,146.0112045,108.1092437,0.264289003,27.86024198,0.30632,383.4806119,-87.22222222,-18.6110014,85.32251476,44.26181482,44.26181482,0.310566055,0,Left,Right, John Dwight Smith ,Baltimore Orioles,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,48.54068114,33.27072906,40.83010085,-0.00000172,9.99E-05
8000000,smoakju01,1B,414,121,500,22,54,61,0,79,106,0.198067633,0.222996516,0.207729469,251.0144928,102.1594203,0.22839839,21.4833165,-0.4901,492.5588978,-85.16129032,-39.35743119,95.18831563,56.51252948,56.51252948,0.158534231,0,Both,Left, Justin Kyle Smoak ,Milwaukee Brewers,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,4.379412973,5.603246849,41.37691133,-0.00000172,9.99E-05
7000000,smylydr01,SP,19,25,20,0,1,0,0,1,9,0,0,0,2,0,0,-2.717776038,-0.00377,19.99623,17.08,-5.531547105,50.50468434,4.071517714,4.071517714,0.785678727,1,Left,Left, Todd Andrew Smyly ,San Francisco Giants,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.384312627,50.7135167,68.50377036,-0.00000172,9.99E-05
1600000,snellbl01,SP,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.808695652,0,0,0.309614605,0.309614605,0.254199509,0,Left,Left, Blake Ashton Snell ,Tampa Bay Rays,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,9.64E-02,58.0903995,64.98260195,-0.00000172,9.99E-05
565000,sobotch01,RP,2,32,2,0,0,0,0,0,2,0,0,0,0,0,0,-0.271777604,0,0,5.325,-0.55315471,0,0.412379356,0.412379356,0.871166064,1,Right,Right, Chad Nicholas Sobotka ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,0.311060779,57.35271123,65.38491078,-0.00000172,9.99E-05
1750000,solarya01,3B,73,28,78,1,9,7,0,4,16,0.109589041,0.25,0.205479452,23,20.04109589,0.216421053,2.619813708,-0.04524,77.04424546,13.50877193,-6.766429332,56.28829113,10.91337097,10.91337097,0.507856405,0,Both,Right, Yangervis Alfredo Solarte ,z-Unknown,-241.1111111,135.7894737,-43.55901941,31.42586584,-4.3,2614.664197,3.824286243,49.06667518,67.55624515,-0.00000172,9.99E-05
